Section,Avg,Max,Min,Std,Count
,0.0,0,0,0.0,17
.BTF,5496110.0,5496110,5496110,0.0,1
.BTF_ids,160.0,160,160,0.0,1
.altinstr_aux,3215.0,3215,3215,0.0,1
.altinstr_replacement,3484.0,3484,3484,0.0,1
.altinstructions,13442.0,13442,13442,0.0,1
.apicdrivers,32.0,32,32,0.0,1
.brk,180224.0,180224,180224,0.0,1
.bss,242542.82352941178,2838528,16,678580.9136540235,17
.comment,76.5625,102,40,30.05099831952343,16
.data,1379018.8823529412,16517745,8,3962325.3949573897,17
.data..percpu,190040.0,190040,190040,0.0,1
.data.rel.ro,384648.0,2950480,88,842437.3752012668,15
.data_nosave,0.0,0,0,0.0,1
.dynamic,550.8571428571429,656,368,84.59756056026234,14
.dynstr,202347.7142857143,2344393,467,625656.3086932029,14
.dynsym,64983.42857142857,745272,528,197927.85809819866,14
.eh_frame,574342.75,4005196,544,1100641.8213908647,16
.eh_frame_hdr,96781.6,541564,124,159094.71272744602,15
.exit.text,10607.0,10607,10607,0.0,1
.fini,8.076923076923077,9,3,2.253202848596432,13
.fini_array,8.533333333333333,16,8,2.0655911179772892,15
.gcc_except_table,172928.2857142857,943270,68,287469.55530560866,14
.gnu.hash,15586.857142857143,188188,36,50100.01476256061,14
.gnu.version,5794.615384615385,62106,44,17103.80862818991,13
.gnu.version_d,56.0,56,56,0.0,3
.gnu.version_r,357.8181818181818,688,80,188.9453985583233,11
.got,5041.6,30024,32,9382.20720908922,15
.got.plt,12367.272727272728,126632,24,37904.057653741795,11
.hash,1690.6666666666667,1976,1152,466.77332114564274,3
.init,20.153846153846153,26,3,7.6577428555042015,13
.init.data,973320.0,973320,973320,0.0,1
.init.text,318657.0,318657,318657,0.0,1
.init_array,741.5,3944,8,1280.1090578540563,16
.iommu_table,160.0,160,160,0.0,1
.jcr,8.0,8,8,0.0,2
.note.gnu.build-id,36.0,36,36,0.0,11
.notes,60.0,60,60,0.0,1
.orc_lookup,262476.0,262476,262476,0.0,1
.orc_unwind,3042486.0,3042486,3042486,0.0,1
.orc_unwind_ip,2028324.0,2028324,2028324,0.0,1
.parainstructions,98508.0,98508,98508,0.0,1
.pci_fixup,12160.0,12160,12160,0.0,1
.plt,23132.571428571428,253232,64,67282.56237427608,14
.plt.got,41.45454545454545,296,8,85.40300186335799,11
.rela.dyn,634601.1428571428,4748424,240,1269933.5072128691,14
.rela.plt,34674.857142857145,379824,72,100923.84356141412,14
.rodata,2832434.8235294116,27646132,31821,6593391.1307370905,17
.shstrtab,244.64705882352942,398,118,59.38006944302796,17
.smp_locks,57344.0,57344,57344,0.0,1
.strtab,11602000.0,11602000,11602000,0.0,1
.symtab,2664000.0,2664000,2664000,0.0,1
.tbss,7448.444444444444,65552,1,21793.86176261054,9
.tdata,12.0,12,12,0.0,1
.text,7185983.705882353,47405392,2014,13039313.509821858,17
.vvar,4096.0,4096,4096,0.0,1
.x86_cpu_dev.init,24.0,24,24,0.0,1
__bug_table,124860.0,124860,124860,0.0,1
__ex_table,20904.0,20904,20904,0.0,1
__kcrctab,19792.0,19792,19792,0.0,1
__kcrctab_gpl,21624.0,21624,21624,0.0,1
__ksymtab,59376.0,59376,59376,0.0,1
__ksymtab_gpl,64872.0,64872,64872,0.0,1
__ksymtab_strings,198578.0,198578,198578,0.0,1
__modver,184.0,184,184,0.0,1
__param,15840.0,15840,15840,0.0,1
