Section	Avg	Max	Min	Std	Count	Type
.00cfg	512.0	512	512	0.0	4	PE
.CRT	599.7714285714286	4096	0	614.4717044992814	35	PE
.bss	0.0	0	0	0.0	39	PE
.buildid	4096.0	4096	4096	0.0	2	PE
.compat	1376.0	4096	0	2355.643436515807	3	PE
.data	16653.963636363635	375296	0	50977.18075351605	110	PE
.edata	95112.52	705536	85	204485.2757309435	25	PE
.gfids	585.1428571428571	1024	512	193.51781018072435	7	PE
.idata	3179.1627906976746	10752	0	2541.7912781028353	43	PE
.idata.a	512.0	512	512	0.0	1	PE
.idata.d	512.0	512	512	0.0	1	PE
.idata.t	512.0	512	512	0.0	1	PE
.osrel	512.0	512	512	0.0	2	PE
.pdata	15562.867924528302	197632	0	37359.991800175005	53	PE
.rdata	102907.34545454546	3215872	0	423749.8987621418	110	PE
.reloc	6744.727272727273	195072	0	20881.327260580674	110	PE
.rodata	18432.0	20480	16384	2364.826702600707	4	PE
.rsrc	3783.8048780487807	22016	512	7522.98419252464	41	PE
.sbat	512.0	512	512	0.0	4	PE
.sdmagic	512.0	512	512	0.0	6	PE
.setup	9365.333333333334	15808	0	8299.379575205205	3	PE
.stab	117760.0	117760	117760	0.0	1	PE
.stabstr	49664.0	49664	49664	0.0	1	PE
.symtab	512.0	512	512	0.0	1	PE
.text	463156.96875	12976128	0	1656054.1770870588	128	PE
.tls	597.3333333333334	4096	0	605.8065697894007	36	PE
.xdata	24365.176470588234	220160	0	57690.683125868876	17	PE
/107	209954.13333333333	1748992	3072	522947.23085410916	15	PE
/123	25770.666666666668	213504	512	64989.627210443214	15	PE
/14	5734.4	41984	1024	11686.937743847677	15	PE
/18	512.0	512	512	0.0	2	PE
/20	65536.0	65536	65536	0.0	1	PE
/29	703385.6	4765696	39936	1545106.3933104044	15	PE
/30	512.0	512	512	0.0	2	PE
/33	4096.0	4096	4096	0.0	1	PE
/4	31494.91891891892	469504	512	97400.63605837786	37	PE
/41	71714.13333333333	454144	7168	148632.19365835667	15	PE
/42	512.0	512	512	0.0	2	PE
/48	8192.0	8192	8192	0.0	1	PE
/55	183091.2	1333248	6656	435663.90011488704	15	PE
/57	512.0	512	512	0.0	1	PE
/58	512.0	512	512	0.0	1	PE
/61	4096.0	4096	4096	0.0	1	PE
/67	42973.86666666667	603136	512	155215.81702808267	15	PE
/73	512.0	512	512	0.0	1	PE
/74	512.0	512	512	0.0	1	PE
/75	4096.0	4096	4096	0.0	1	PE
/80	22528.0	139776	1024	47411.07361908488	15	PE
/87	4096.0	4096	4096	0.0	1	PE
/88	512.0	512	512	0.0	1	PE
/89	512.0	512	512	0.0	1	PE
/91	34713.6	197632	7680	62313.39596037345	15	PE
/99	4096.0	4096	4096	0.0	1	PE
_RDATA	512.0	512	512	0.0	8	PE
