Section,Avg,Max,Min,Std,Count
,2597376.0,3175424,2019328,667472.3368090496,4
.00cfg,502.46153846153845,512,16,68.78282433192841,52
.CRT,450.0,512,16,175.36248173426378,8
.DDIData,512.0,512,512,0.0,1
.STL,512.0,512,512,0.0,6
.apiset,17334.85714285714,116736,512,43832.531584918266,7
.bootdat,4096.0,4096,4096,0.0,1
.cfguard,8661.333333333334,9216,6656,885.6895960809637,12
.code,512.0,512,512,0.0,4
.data,50901.21018503875,28857344,0,569085.1341531856,6323
.data1,134656.0,296960,67584,91596.02250461897,7
.debug_o,497517.71428571426,952832,138752,248813.33733658938,7
.detourc,8704.0,8704,8704,0.0,6
.detourd,512.0,512,512,0.0,6
.didat,701.1171171171171,12288,512,641.699028593582,2109
.dxgknpd,0.0,0,0,0.0,1
.edata,5002.666666666667,101888,256,15666.213434816646,168
.gehcont,512.0,512,512,0.0,7
.gfids,34720.0,926720,512,159350.21223209178,64
.guids,597.3333333333334,1024,512,194.91506883248152,24
.gxfg,64614.4,100864,10240,49636.80905134817,5
.idata,4093.7510980966326,93184,512,5148.6349735099375,683
.imrsiv,0.0,0,0,0.0,57
.isoapis,512.0,512,512,0.0,4
.kbdfall,2560.0,2560,2560,0.0,1
.mrdata,8113.2307692307695,13824,512,5493.953860894813,13
.mytext,512.0,512,512,0.0,1
.ndata,0.0,0,0,0.0,1
.ndr64,15616.0,28160,3072,17739.894926408106,2
.nep,1120.0,3072,512,626.1978388124103,16
.no_bbt,2520.6153846153848,8704,1024,2529.624924056975,13
.orpc,733.8666666666667,7168,512,1215.2137809181286,30
.pdata,17322.41549766199,2620928,32,67009.5733014131,5988
.proxy,20480.0,20480,20480,0.0,1
.rdata,189391.48464007335,44297216,512,1759222.6350957425,8724
.reloc,8863.008099688474,1213440,32,49216.46112696347,6420
.rsrc,117785.94375132163,189009920,512,2167756.5989853395,9458
.sdbid,6741.333333333333,15872,1024,6955.792137971538,6
.shared,33280.0,33280,33280,0.0,2
.sinit,512.0,512,512,0.0,2
.sipc,512.0,512,512,0.0,2
.ssm_url,1536.0,1536,1536,0.0,1
.tPolicy,853.3333333333334,1536,512,512.0,9
.text,468624.20686470676,62245376,80,2142342.9031640696,6497
.text_hf,433664.0,672768,194560,338144.1196176565,2
.tls,622.276923076923,1024,512,212.11549829134273,65
.trace,13312.0,19456,10240,3278.3996095656184,7
.trs_age,1377280.0,1377280,1377280,0.0,4
.tvm0,331776.0,331776,331776,0.0,1
.vmp0,2048.0,2048,2048,0.0,1
.vmp1,302592.0,302592,302592,0.0,1
.wixburn,512.0,512,512,0.0,1
.wpp_sf,11960.32,104448,512,23931.952028477186,25
.xdata,13312.0,13312,13312,0.0,1
.zero,0.0,0,0,0.0,2
?g_Encry,3015.1111111111113,11776,512,4966.957127971925,9
ALMOSTRO,1536.0,5120,512,1425.3476768844855,9
CACHEALI,512.0,512,512,0.0,1
CFGRO,4096.0,7680,512,5068.541407545173,2
CODE,96921.6,315904,9728,112011.61063427402,20
CONST,6656.0,6656,6656,0.0,2
DUMPDATA,26112.0,26112,26112,0.0,2
ERRATA,2048.0,2048,2048,0.0,1
ExtTel,512.0,512,512,0.0,1
FE_TEXT,25088.0,25088,25088,0.0,1
FUNCTBL,6656.0,6656,6656,0.0,1
GFIDS,914.5060240963855,36352,512,1843.7525599239445,664
GLOBAL_I,512.0,512,512,0.0,4
INIT,2560.6471183013145,567808,512,18138.523249870075,989
INITCONS,1280.0,2048,512,660.9891577527325,4
INITDATA,3072.0,6656,512,3197.43897517998,3
INITKDBG,103936.0,103936,103936,0.0,1
IPPCODE,474862.93333333335,981504,28160,422334.9140966996,15
IPPDATA,7680.0,16384,512,6167.228816310229,12
KVASCODE,7168.0,9216,5120,2896.309375740099,2
MCDATA,2605056.0,2605056,2605056,0.0,1
MINIEX,9728.0,9728,9728,0.0,1
NONPAGE,1678.2222222222222,31744,512,5952.157974504635,54
NONPAGED,42276.57142857143,104960,1536,46314.4090712496,7
PAGE,67891.56834532374,3950592,512,341184.2875028454,834
PAGE4BRO,6144.0,6144,6144,0.0,1
PAGE5NET,1536.0,1536,1536,0.0,1
PAGEAFD,184832.0,184832,184832,0.0,1
PAGEAVpn,20992.0,20992,20992,0.0,1
PAGEBGFX,27136.0,27136,27136,0.0,1
PAGEBTTS,5632.0,5632,5632,0.0,2
PAGECONS,8785.92,60928,512,14595.502737487324,25
PAGED,2112.0,3072,512,925.5534251771438,8
PAGEDATA,3778.206896551724,19456,0,5063.7620781624855,29
PAGEFW,726016.0,1415168,36864,795764.185425138,4
PAGEHDLS,9728.0,9728,9728,0.0,1
PAGEHrx,640.0,1024,512,256.0,4
PAGEICES,4096.0,4096,4096,0.0,1
PAGEIDP,11776.0,11776,11776,0.0,1
PAGEIPPT,1536.0,1536,1536,0.0,2
PAGEIPSE,113152.0,113152,113152,0.0,1
PAGEKD,23552.0,23552,23552,0.0,1
PAGEKRPC,259584.0,259584,259584,0.0,1
PAGEKsVf,59392.0,59392,59392,0.0,1
PAGEL2TP,54272.0,54272,54272,0.0,1
PAGELK,44683.63636363636,225280,512,74872.22013974572,11
PAGELOCK,4608.0,4608,4608,0.0,1
PAGEMSG,29440.0,56320,2560,38014.060556588796,2
PAGENBT,3072.0,3072,3072,0.0,1
PAGENDPx,31744.0,31744,31744,0.0,1
PAGENPNP,72704.0,72704,72704,0.0,1
PAGENWan,69632.0,69632,69632,0.0,1
PAGEP,3072.0,3072,3072,0.0,2
PAGEPARW,512.0,512,512,0.0,2
PAGEPPTP,40448.0,40448,40448,0.0,1
PAGEPcVf,10752.0,10752,10752,0.0,2
PAGEPpoe,35328.0,35328,35328,0.0,1
PAGER0,228864.0,228864,228864,0.0,1
PAGER32C,1024.0,1024,1024,0.0,10
PAGERO,5120.0,5120,5120,0.0,2
PAGERPCD,512.0,512,512,0.0,1
PAGERSS,12800.0,12800,12800,0.0,1
PAGESAN,18432.0,18432,18432,0.0,1
PAGESENM,5120.0,5120,5120,0.0,2
PAGESER,18432.0,31744,1024,8782.288438796702,10
PAGESRP0,15808.0,19968,1536,5961.086765730845,8
PAGESSL,12800.0,12800,12800,0.0,1
PAGESSTP,39424.0,39424,39424,0.0,1
PAGEUMDM,14848.0,14848,14848,0.0,1
PAGEUPDT,2048.0,2048,2048,0.0,1
PAGEVRF1,12288.0,12288,12288,0.0,1
PAGEVRF2,16384.0,16384,16384,0.0,1
PAGEVRFD,32768.0,32768,32768,0.0,1
PAGEVRFY,71338.66666666667,205312,2560,116038.14802612687,3
PAGEWArp,37376.0,37376,37376,0.0,1
PAGEWPP,19148.8,65536,1536,26348.357732503937,5
PAGEWTDI,18944.0,18944,18944,0.0,1
PAGEWdfV,13994.666666666666,35328,512,18688.584465746284,3
PAGEWsk,8704.0,9728,7680,1448.1546878700494,2
PAGE_LK,4096.0,4096,4096,0.0,2
PAGEcast,8448.0,10752,6144,3258.348047707611,2
PAGEccln,77537.28,95744,25600,14914.850886281096,25
PAGEccpk,4096.0,4096,4096,0.0,2
PAGEccpt,2048.0,2048,2048,0.0,2
PAGEcctw,1761.28,6144,512,1983.408083745417,25
PAGEcimg,9953.28,11776,5120,1705.0445624675033,25
PAGEcjaw,72912.5925925926,133120,4096,37335.58444006845,27
PAGEckmr,111104.0,111104,111104,0.0,2
PAGEcnlo,1536.0,2048,1024,256.0,9
PAGEcpma,76800.0,76800,76800,0.0,2
PAGEcpsm,6656.0,7168,6144,256.0,9
PAGEcptw,2048.0,2048,2048,0.0,1
PAGEcsec,7338.666666666667,31232,512,12567.087074515779,27
PAGEcsrv,67944.29629629629,90624,43008,16611.23334191658,27
PAGEcsv_,44462.08,79872,18944,22775.21568489162,25
PAGEctyl,99840.0,99840,99840,0.0,2
PAGEcwfd,90132.48,121344,50176,16758.050177750392,25
PAGEcwkp,15360.0,15360,15360,0.0,1
PAGEdBla,4608.0,4608,4608,0.0,5
PAGEdCcl,1024.0,1024,1024,0.0,11
PAGEdFmp,921.6,1024,512,228.97336089597846,5
PAGEdFpg,512.0,512,512,0.0,21
PAGEdGfp,512.0,512,512,0.0,6
PAGEdHrp,512.0,512,512,0.0,6
PAGEdJfp,512.0,512,512,0.0,6
PAGEdMag,3264.0,4608,1024,1854.896223512248,8
PAGEdMrp,512.0,512,512,0.0,6
PAGEdPsr,1472.0,2048,1024,368.0231876752695,16
PAGEdQua,2025.7391304347825,4608,1024,1410.4585075715725,23
PAGEdSim,512.0,512,512,0.0,21
PAGEdSle,512.0,512,512,0.0,16
PAGEdSlr,2319.0588235294117,4608,1024,1537.254389755817,17
PAGEdSnF,800.0,2560,512,619.1813950693286,16
PAGEdSnd,512.0,512,512,0.0,2
PAGEdStn,1664.0,2560,1024,768.0,4
PAGEdSun,1339.076923076923,1536,1024,259.26127797341866,13
PAGEdThP,512.0,512,512,0.0,15
PAGEdWsP,585.1428571428571,1024,512,185.9258980358561,14
PAGEdcln,4546.56,5120,3584,497.2817846385823,25
PAGEdcpk,512.0,512,512,0.0,2
PAGEdctw,512.0,512,512,0.0,4
PAGEdimg,1720.32,4096,512,1295.9433732484868,25
PAGEdjaw,1042.962962962963,1536,512,332.46601694256276,27
PAGEdkmr,1024.0,1024,1024,0.0,2
PAGEdoid,26491.25925925926,103936,10752,26910.11895550501,27
PAGEdpma,1024.0,1024,1024,0.0,2
PAGEdreg,200495.40740740742,265216,47616,94980.77797244405,27
PAGEdrlg,2097152.0,2097152,2097152,0.0,17
PAGEdscn,512.0,512,512,0.0,2
PAGEdsv_,2703.36,4608,512,1745.8123916007316,25
PAGEdtyl,1024.0,1024,1024,0.0,2
PAGEdwi1,2304.0,2560,2048,362.03867196751236,2
PAGEdwi2,2304.0,2560,2048,362.03867196751236,2
PAGEwx1,2560.0,3584,1536,1448.1546878700494,2
PAGEwx2,2048.0,3072,1024,1182.4133513003535,4
PAGEwx3,15360.0,15360,15360,0.0,1
PAGEwx4,21504.0,21504,21504,0.0,1
PAGEwx5,24064.0,24064,24064,0.0,1
PAGEwx6,6656.0,6656,6656,0.0,1
PAGEwx68,512.0,512,512,0.0,1
PAGEwx7,512.0,512,512,0.0,1
PAGEwx8,512.0,512,512,0.0,1
PAGEwxa,512.0,512,512,0.0,1
PAGEwxb,1024.0,1024,1024,0.0,1
PAGEwxc,512.0,512,512,0.0,1
PAGEwxcc,512.0,512,512,0.0,1
POOLCODE,1536.0,1536,1536,0.0,1
PROTDATA,512.0,512,512,0.0,1
Pad1,0.0,0,0,0.0,1
Pad2,0.0,0,0,0.0,1
Pad3,0.0,0,0,0.0,1
Pad4,0.0,0,0,0.0,1
RETPOL,2560.0,2560,2560,0.0,1
ROHTTPRE,14336.0,14336,14336,0.0,1
RT,512.0,512,512,0.0,1
RTFOUT_P,3072.0,3072,3072,0.0,1
RT_BSS,0.0,0,0,0.0,10
RT_CODE,184770.56,1342976,512,415448.9901256407,50
RT_CONST,14250.666666666666,44032,512,17025.80615895526,24
RT_DATA,69013.33333333333,228352,512,83026.40386866288,24
SANONTCP,96256.0,96256,96256,0.0,1
SECUR,2048.0,2048,2048,0.0,1
SecEntry,4096.0,4096,4096,0.0,1
SecKdpSe,512.0,512,512,0.0,1
TABLERO,8192.0,15872,512,10861.16015902537,2
TEXT,4096.0,4096,4096,0.0,5
TRACESUP,6144.0,6144,6144,0.0,1
TRANSIT,512.0,512,512,0.0,10
TRNS,1024.0,1024,1024,0.0,1
TRSCODE,851968.0,851968,851968,0.0,21
TulipLog,512.0,512,512,0.0,5
W64SVC,512.0,512,512,0.0,1
WOW64SVC,512.0,512,512,0.0,1
ZEROPAGE,0.0,0,0,0.0,1
_CONST,512.0,512,512,0.0,1
_LDATA,512.0,512,512,0.0,2
_LTEXT,61440.0,61440,61440,0.0,2
_RDATA,2145.8488888888887,41984,512,7279.040517270356,225
cachelin,4608.0,4608,4608,0.0,1
consent,512.0,512,512,0.0,1
data,13619.2,33280,7168,11097.533563814979,5
fothk,4096.0,4096,4096,0.0,2
minATL,512.0,512,512,0.0,5
msrodata,1024.0,1024,1024,0.0,3
nlsdata,76288.0,76288,76288,0.0,1
text,4300.8,13312,1024,5140.43920302536,5
