PE File Segment Analysis:

Segment Name         Characteristics      Avg Size of Raw Data (bytes)   Max        Min             STD                  Count
UPX0                 RWE                  0.0                            0          0               0.0                  7
UPX1                 RWE                  805668.57                      1431040    19968           681869.93            7
.rsrc                RW                   5563.12                        158208     1024            15930.39             631
.text                R E                  655180.25                      225444352  0               4985358.1            63516
.rdata               R                    202254.58                      126870016  0               1580011.26           61015
.data                RW                   52520.37                       59932672   0               632314.26            47051
.rsrc                R                    86944.8                        511399936  512             2650037.67           81610
_winzip_             R                    243023872.0                    243023872  243023872       0.0                  2
.pdata               R                    37547.1                        9341952    0               218621.99            34699
.idata               R                    5912.89                        62464      512             4889.64              7333
.reloc               R                    12504.53                       4963840    256             80774.61             63624
.rsrc                R                    10457.25                       638976     896             39470.06             2814
_RDATA               R                    1911.41                        284160     0               10441.62             2815
.ndata               RW                   0.0                            0          0               0.0                  38
.qtmimed             R                    329830.4                       339968     323072          8277.32              10
.gfids               R                    810.65                         109568     512             3631.91              2827
.tls                 RW                   600.63                         8704       512             346.84               2559
.text                R E                  242544.4                       8045056    0               696869.92            2035
.rdata               R                    68716.7                        8665600    0               387206.83            2023
.data                RW                   65632.0                        10046464   0               532521.06            2032
.pdata               R                    13453.15                       865280     0               43336.98             2005
PAGE                 R E                  74240.0                        4313600    512             373522.3             1739
INIT                 R E                  5589.76                        614400     512             28815.78             1806
INIT                 RWE                  2552.86                        6656       512             1289.41              215
PAGED_CO             R E                  512.0                          512        512             0.0                  3
PAGESRP0             R E                  13281.88                       20480      512             7047.53              17
.orpc                R E                  941.09                         12288      512             1657.16              247
.textidx             R E                  1122889.14                     1512448    145408          258610.51            126
CONST                R E                  1408.0                         4096       512             1551.92              4
.sxdata              RW                   512.0                          512        512             0.0                  7
jkl.text             R E                  1474033.37                     1550848    35840           257097.85            35
jkl.bss              RW                   0.0                            0          0               0.0                  35
jkl.xdat             R                    130677.03                      137216     3584            22597.41             35
jkl.pdat             R                    95334.4                        100864     2560            16991.61             35
jkl.data             RW                   143433.14                      148992     512             24680.05             35
jkl.rdat             R                    306673.37                      346112     1024            83370.97             35
jkl.CRT              R                    512.0                          512        512             0.0                  34
.nep                 R E                  3670.4                         56832      512             6805.03              160
Linear40             R E                  32768.0                        32768      32768           0.0                  2
.qtmetad             R                    526.75                         5632       512             236.39               486
.00cfg               R                    590.92                         4096       512             525.96               772
.rodata              R                    5818.18                        8704       3072            1817.06              11
.unwante             R                    7570.29                        8192       3584            1300.73              14
.crthunk             R                    512.0                          512        512             0.0                  24
.oldntma             RW                   512.0                          512        512             0.0                  21
CPADinfo             RW                   538.16                         4096       512             305.08               137
